q,NormalSparsity
0.0001,0.1072644704973229
0.0002,0.11267881706885666
0.0003,0.11623266235290905
0.0004,0.11895695767774983
0.0005,0.12119954826789527
0.0006,0.12312342715332707
0.0007,0.12481905445243947
0.0008,0.1263422324890031
0.0009,0.12772998733380636
0.0010,0.12900823728845168
0.0011,0.130195885350279
0.0012,0.13130717364496097
0.0013,0.13235311980662698
0.0014,0.133342435622929
0.0015,0.1342821378230975
0.0016,0.135177967610773
0.0017,0.13603468691769696
0.0018,0.13685629265243263
0.0019,0.13764617489449443
0.0020,0.1384072358505381
0.0021,0.13914198076274198
0.0022,0.13985258839174933
0.0023,0.14054096637553587
0.0024,0.14120879522074642
0.0025,0.14185756363352447
0.0026,0.14248859717052018
0.0027,0.1431030816795511
0.0028,0.14370208263404854
0.0029,0.14428656120062505
0.0030,0.144857387684692
0.0031,0.14541535285461618
0.0032,0.14596117753640134
0.0033,0.14649552078853628
0.0034,0.1470189869035619
0.0035,0.14753213143414187
0.0036,0.14803546640341086
0.0037,0.14852946482951557
0.0038,0.14901456467063698
0.0039,0.1494911722779599
0.0040,0.14995966542895803
0.0041,0.15042039600118545
0.0042,0.1508736923368808
0.0043,0.15131986134062445
0.0044,0.15175919034567464
0.0045,0.15219194877915468
0.0046,0.15261838965174715
0.0047,0.15303875089379446
0.0048,0.15345325655656455
0.0049,0.1538621178948097
0.0050,0.15426553434452617
0.0051,0.15466369440794994
0.0052,0.15505677645623256
0.0053,0.15544494945888696
0.0054,0.15582837364793942
0.0055,0.15620720112372952
0.0056,0.1565815764084531
0.0057,0.15695163695280703
0.0058,0.15731751360046078
0.0059,0.15767933101453266
0.0060,0.15803720806976848
0.0061,0.1583912582137068
0.0062,0.15874158979975153
0.0063,0.15908830639475352
0.0064,0.15943150706342726
0.0065,0.15977128663168041
0.0066,0.1601077359307205
0.0067,0.16044094202361273
0.0068,0.16077098841579218
0.0069,0.1610979552508873
0.0070,0.1614219194930771
0.0071,0.1617429550970875
0.0072,0.1620611331668269
0.0073,0.16237652210356776
0.0074,0.16268918774449675
0.0075,0.16299919349238134
0.0076,0.16330660043703338
0.0077,0.1636114674691897
0.0078,0.16391385138737583
0.0079,0.1642138069982694
0.0080,0.16451138721103575
0.0081,0.16480664312606974
0.0082,0.16509962411853904
0.0083,0.16539037791709435
0.0084,0.16567895067808025
0.0085,0.1659653870555557
0.0086,0.1662497302674052
0.0087,0.16653202215780444
0.0088,0.1668123032562792
0.0089,0.16709061283358068
0.0090,0.16736698895458296
0.0091,0.1676414685283922
0.0092,0.16791408735584407
0.0093,0.1681848801745518
0.0094,0.16845388070165757
0.0095,0.1687211216744256
0.0096,0.1689866348888095
0.0097,0.16925045123611343
0.0098,0.16951260073786145
0.0099,0.16977311257897854
0.0100,0.17003201513938274
0.0101,0.17028933602407853
0.0102,0.17054510209183765
0.0103,0.17079933948254608
0.0104,0.17105207364329217
0.0105,0.17130332935326503
0.0106,0.17155313074752862
0.0107,0.17180150133973235
0.0108,0.17204846404381527
0.0109,0.17229404119475697
0.0110,0.1725382545684265
0.0111,0.172781125400575
0.0112,0.1730226744050177
0.0113,0.17326292179104605
0.0114,0.1735018872801088
0.0115,0.17373959012180026
0.0116,0.17397604910918868
0.0117,0.17421128259351878
0.0118,0.17444530849831816
0.0119,0.174678144332937
0.0120,0.17490980720554886
0.0121,0.17514031383563744
0.0122,0.1753696805659945
0.0123,0.17559792337425134
0.0124,0.17582505788396635
0.0125,0.17605109937528815
0.0126,0.17627606279521502
0.0127,0.17649996276746827
0.0128,0.1767228136019967
0.0129,0.17694462930412985
0.0130,0.17716542358339454
0.0131,0.17738520986201006
0.0132,0.1776040012830763
0.0133,0.17782181071846764
0.0134,0.17803865077644565
0.0135,0.17825453380900302
0.0136,0.1784694719189488
0.0137,0.17868347696674786
0.0138,0.17889656057712314
0.0139,0.17910873414543133
0.0140,0.1793200088438214
0.0141,0.1795303956271845
0.0142,0.1797399052389043
0.0143,0.17994854821641498
0.0144,0.18015633489657562
0.0145,0.18036327542086736
0.0146,0.18056937974042103
0.0147,0.18077465762088157
0.0148,0.18097911864711572
0.0149,0.181182772227769
0.0150,0.1813856275996779
0.0151,0.18158769383214277
0.0152,0.18178897983106643
0.0153,0.1819894943429643
0.0154,0.18218924595884983
0.0155,0.182388243118001
0.0156,0.18258649411161126
0.0157,0.1827840070863299
0.0158,0.1829807900476959
0.0159,0.1831768508634679
0.0160,0.18337219726685622
0.0161,0.18356683685965844
0.0162,0.18376077711530278
0.0163,0.1839540253818033
0.0164,0.18414658888462784
0.0165,0.18433847472948478
0.0166,0.1845296899050287
0.0167,0.18472024128548908
0.0168,0.184910135633225
0.0169,0.1850993796012071
0.0170,0.18528797973543082
0.0171,0.1854759424772614
0.0172,0.1856632741657153
0.0173,0.18584998103967754
0.0174,0.1860360692400591
0.0175,0.18622154481189557
0.0176,0.18640641370638883
0.0177,0.18659068178289387
0.0178,0.1867743548108527
0.0179,0.18695743847167637
0.0180,0.187139938360578
0.0181,0.18732185998835663
0.0182,0.18750320878313526
0.0183,0.18768399009205328
0.0184,0.18786420918291516
0.0185,0.18804387124579694
0.0186,0.18822298139461144
0.0187,0.18840154466863362
0.0188,0.18857956603398757
0.0189,0.18875705038509574
0.0190,0.1889340025460922
0.0191,0.18911042727220062
0.0192,0.18928632925107797
0.0193,0.18946171310412524
0.0194,0.18963658338776598
0.0195,0.1898109445946938
0.0196,0.18998480115508934
0.0197,0.19015815743780803
0.0198,0.1903310177515394
0.0199,0.19050338634593855
0.0200,0.19067526741273064
0.0201,0.19084666508678977
0.0202,0.19101758344719152
0.0203,0.1911880265182419
0.0204,0.19135799827048167
0.0205,0.19152750262166743
0.0206,0.19169654343773038
0.0207,0.1918651245337126
0.0208,0.1920332496746826
