q,NormalSparsity
0.0001,0.08350755182147579
0.0002,0.08886602220693854
0.0003,0.09238766991055147
0.0004,0.09508974453841182
0.0005,0.09731569166111406
0.0006,0.09922651115670054
0.0007,0.10091158559570963
0.0008,0.10242606682175533
0.0009,0.1038065572059639
0.0010,0.10507868322042713
0.0011,0.10626113806623652
0.0012,0.10736800784163988
0.0013,0.10841019089856034
0.0014,0.10939630572621639
0.0015,0.11033329466012085
0.0016,0.11122683860024699
0.0017,0.11208164989588129
0.0018,0.1129016841788248
0.0019,0.1136902967882861
0.0020,0.11445036040673398
0.0021,0.11518435496647442
0.0022,0.1158944373611529
0.0023,0.11658249620263302
0.0024,0.11725019533690909
0.0025,0.11789900879536008
0.0026,0.11853024913968546
0.0027,0.11914509065351327
0.0028,0.11974458847249196
0.0029,0.12032969448288633
0.0030,0.12090127062647957
0.0031,0.12146010010677169
0.0032,0.12200689688416888
0.0033,0.1225423137664329
0.0034,0.1230669493382686
0.0035,0.123581353925698
0.0036,0.12408603475327629
0.0037,0.1245814604226722
0.0038,0.12506806481776733
0.0039,0.12554625052281027
0.0040,0.1260163918252264
0.0041,0.12647883736263954
0.0042,0.1269339124638818
0.0043,0.12738192122578884
0.0044,0.127823148361035
0.0045,0.1282578608468646
0.0046,0.128686309400111
0.0047,0.12910872980017282
0.0048,0.1295253440785163
0.0049,0.1299363615906623
0.0050,0.13034197998442493
0.0051,0.1307423860763135
0.0052,0.13113775664643457
0.0053,0.1315282591608921
0.0054,0.13191405242954102
0.0055,0.13229528720596567
0.0056,0.13267210673571697
0.0057,0.13304464725811227
0.0058,0.13341303846627672
0.0059,0.13377740392956064
0.0060,0.13413786148199452
0.0061,0.13449452358003347
0.0062,0.1348474976324811
0.0063,0.13519688630517093
0.0064,0.135542787802706
0.0065,0.13588529612931594
0.0066,0.13622450133067637
0.0067,0.13656048971834747
0.0068,0.13689334407832202
0.0069,0.13722314386502493
0.0070,0.1375499653819751
0.0071,0.13787388195020475
0.0072,0.138194964065426
0.0073,0.1385132795448428
0.0074,0.13882889366442303
0.0075,0.13914186928737088
0.0076,0.13945226698447405
0.0077,0.1397601451469391
0.0078,0.14006556009227691
0.0079,0.14036856616374757
0.0080,0.1406692158238356
0.0081,0.14096755974218264
0.0082,0.1412636468783706
0.0083,0.14155752455991716
0.0084,0.1418492385558135
0.0085,0.14213883314591097
0.0086,0.14242635118643437
0.0087,0.1427118341718841
0.0088,0.14299532229356252
0.0089,0.14327685449494656
0.0090,0.14355646852411025
0.0091,0.14383420098338368
0.0092,0.14411008737642567
0.0093,0.14438416215286828
0.0094,0.1446564587506865
0.0095,0.1449270096364293
0.0096,0.1451958463434433
0.0097,0.14546299950820804
0.0098,0.14572849890489512
0.0099,0.14599237347825517
0.0100,0.1462546513749303
0.0101,0.14651535997328077
0.0102,0.14677452591181242
0.0103,0.1470321751162826
0.0104,0.14728833282555825
0.0105,0.1475430236162949
0.0106,0.14779627142650195
0.0107,0.14804809957805382
0.0108,0.1482985307982037
0.0109,0.14854758724015285
0.0110,0.14879529050272544
0.0111,0.14904166164919588
0.0112,0.1492867212253115
0.0113,0.14953048927655316
0.0114,0.149772985364671
0.0115,0.15001422858353355
0.0116,0.15025423757432327
0.0117,0.15049303054011082
0.0118,0.1507306252598399
0.0119,0.15096703910174908
0.0120,0.1512022890362605
0.0121,0.15143639164835873
0.0122,0.15166936314948498
0.0123,0.151901219388969
0.0124,0.15213197586502147
0.0125,0.1523616477353052
0.0126,0.15259024982710623
0.0127,0.15281779664712286
0.0128,0.1530443023908878
0.0129,0.15326978095184385
0.0130,0.1534942459300843
0.0131,0.15371771064077583
0.0132,0.1539401881222763
0.0133,0.1541616911439618
0.0134,0.15438223221377373
0.0135,0.15460182358550084
0.0136,0.15482047726580356
0.0137,0.15503820502099575
0.0138,0.1552550183835905
0.0139,0.15547092865862194
0.0140,0.15568594692975143
0.0141,0.15590008406516703
0.0142,0.156113350723285
0.0143,0.15632575735826132
0.0144,0.15653731422531975
0.0145,0.15674803138590604
0.0146,0.15695791871267256
0.0147,0.157166985894302
0.0148,0.15737524244017512
0.0149,0.15758269768488953
0.0150,0.1577893607926351
0.0151,0.15799524076143018
0.0152,0.1582003464272263
0.0153,0.15840468646788414
0.0154,0.15860826940702663
0.0155,0.1588111036177736
0.0156,0.15901319732636285
0.0157,0.15921455861565995
0.0158,0.15941519542856425
0.0159,0.15961511557131064
0.0160,0.1598143267166745
0.0161,0.1600128364070817
0.0162,0.16021065205762586
0.0163,0.16040778095899963
0.0164,0.16060423028033838
0.0165,0.16080000707198402
0.0166,0.16099511826816798
0.0167,0.16118957068961834
0.0168,0.161383371046093
0.0169,0.16157652593884156
0.0170,0.16176904186299823
0.0171,0.16196092520990732
0.0172,0.16215218226938632
0.0173,0.16234281923192423
0.0174,0.16253284219082184
0.0175,0.16272225714427235
0.0176,0.16291106999738708
0.0177,0.16309928656416495
0.0178,0.16328691256941122
0.0179,0.16347395365060363
0.0180,0.16366041535971057
0.0181,0.1638463031649601
0.0182,0.16403162245256395
0.0183,0.16421637852839557
0.0184,0.16440057661962595
0.0185,0.16458422187631655
0.0186,0.16476731937297168
0.0187,0.16494987411005155
0.0188,0.16513189101544695
0.0189,0.16531337494591672
0.0190,0.16549433068848943
0.0191,0.16567476296183
0.0192,0.16585467641757273
0.0193,0.16603407564162098
0.0194,0.16621296515541562
0.0195,0.16639134941717196
0.0196,0.16656923282308728
0.0197,0.16674661970851867
0.0198,0.16692351434913286
0.0199,0.16709992096202864
0.0200,0.1672758437068323
0.0201,0.16745128668676762
0.0202,0.16762625394970046
0.0203,0.1678007494891585
